帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
13,12,768.07,326.0,4770.62,3224.09,26.89,19.61,0
13,15,1193.3,421.21,7256.16,4195.25,61.0,31.8,1
13,14,1094.4,347.19,6346.28,3401.92,48.52,21.84,1
13,17,926.06,330.65,5461.9,3240.36,36.38,19.81,0
13,13,1432.31,409.45,8356.3,4078.68,76.1,30.34,1
13,18,1452.21,479.04,8682.44,4751.44,80.58,38.78,1
13,16,1211.93,515.18,7754.57,4990.62,67.84,41.78,1
13,19,1491.67,668.13,9245.49,6022.46,88.3,54.74,1
13,11,1175.38,252.94,5958.22,1974.6,43.19,3.92,1
13,20,924.55,233.59,4439.64,1830.0,22.35,2.11,0
13,21,1394.16,317.48,7717.92,2911.53,67.34,15.68,1
13,22,964.31,521.32,6844.23,4982.56,55.35,41.68,1
13,6,1788.97,894.4,10462.28,7079.11,105.0,68.0,3
13,23,627.71,209.85,2810.76,1662.12,0.0,0.0,3
14,1,393.86,659.21,5796.18,5621.25,40.98,49.7,0
14,3,860.68,419.39,5880.85,4169.82,42.14,31.49,0
14,2,933.95,648.23,7269.59,5722.83,61.2,50.98,0
14,9,639.53,341.5,4433.29,3424.06,22.28,22.12,0
14,4,882.77,488.18,6383.62,4731.82,49.04,38.54,0
14,5,606.97,468.89,5337.59,4554.64,34.69,36.32,0
14,7,617.95,395.37,4831.33,3955.3,27.74,28.79,0
14,8,965.04,429.58,6347.95,4264.22,48.55,32.67,0
14,10,943.4,351.97,5713.18,3486.0,39.84,22.9,1
14,12,768.07,326.0,4769.96,3223.96,26.9,19.61,0
14,14,1094.36,347.19,6345.59,3401.65,48.52,21.84,1
14,15,1193.35,421.22,7256.16,4195.23,61.01,31.8,1
14,17,926.06,330.65,5461.29,3240.19,36.39,19.82,0
14,13,1432.31,409.45,8356.11,4078.47,76.11,30.34,1
14,16,1211.94,515.16,7754.44,4990.62,67.85,41.79,1
14,18,1452.2,479.04,8682.26,4751.38,80.58,38.79,1
14,19,1491.69,668.15,9245.6,6022.75,88.31,54.74,1
